Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
0.091	0.423	-0.0045	1.173	0.013	1.278	0.0182	2.206	-0.0193	2.048	-0.0238	2.405	-0.0278	2.669	0.0058	2.983	-0.0163	4.33	-0.0462	4.963	0.0611
0.092	0.376	-0.0036	1.173	-0.0048	1.54	0.0272	1.985	-0.0199	1.851	-0.0145	2.229	-0.0093	2.977	0.0378	3.083	0.0206	3.856	-0.0453	4.963	0
0.093	0.341	-0.0021	1.068	-0.009	1.822	0.0248	1.772	-0.0196	1.861	0.0088	2.339	0.0188	3.529	0.0571	3.548	0.0526	3.469	-0.0305	4.963	-0.048
0.094	0.355	0.004	0.965	-0.009	1.933	0.0037	1.572	-0.0178	2.123	0.0311	2.722	0.0426	4.127	0.0538	4.218	0.0665	3.426	0.0079	4.963	-0.051
0.095	0.425	0.0085	0.862	-0.0093	1.798	-0.0145	1.457	-0.006	2.535	0.0423	3.243	0.0514	4.415	0.0148	4.804	0.0481	3.814	0.0481	4.638	-0.051
0.096	0.53	0.0109	0.763	-0.0084	1.628	-0.0151	1.539	0.0142	2.946	0.0351	3.671	0.0323	4.181	-0.032	4.925	-0.0042	4.511	0.0716	4.128	-0.0483
0.097	0.601	0.0049	0.689	-0.0051	1.458	-0.0154	1.812	0.0299	3.074	0.0024	3.693	-0.0099	3.79	-0.0356	4.538	-0.0389	4.963	0.0674	3.792	-0.0217
0.098	0.57	-0.0036	0.7	0.0049	1.295	-0.0148	2.175	0.0357	2.852	-0.0235	3.374	-0.0293	3.403	-0.0365	4.1	-0.0407	4.963	0.0197	3.9	0.0236
0.099	0.517	-0.0042	0.819	0.0142	1.157	-0.0114	2.457	0.0203	2.576	-0.025	3.042	-0.0302	3.027	-0.035	3.67	-0.0407	4.963	-0.0407	4.453	0.0629
0.1	0.465	-0.0042	1.001	0.0188	1.129	0.0022	2.435	-0.0105	2.31	-0.0244	2.718	-0.0302	2.712	-0.025	3.261	-0.0386	4.849	-0.0459	4.963	0.0819
0.101	0.414	-0.0042	1.164	0.0133	1.265	0.0175	2.216	-0.0193	2.05	-0.0241	2.413	-0.0281	2.663	0.0052	2.997	-0.0166	4.357	-0.0465	4.963	0.0604
0.102	0.368	-0.0042	1.169	-0.0045	1.525	0.0272	1.995	-0.0196	1.849	-0.0145	2.233	-0.0099	2.964	0.0369	3.092	0.0203	3.877	-0.0453	4.963	0
0.103	0.334	-0.0015	1.063	-0.009	1.81	0.0254	1.783	-0.0196	1.855	0.0076	2.338	0.0185	3.512	0.0568	3.554	0.052	3.49	-0.0311	4.963	-0.0483
0.104	0.352	0.004	0.96	-0.009	1.932	0.0049	1.579	-0.0181	2.108	0.0305	2.716	0.0426	4.112	0.0544	4.218	0.0659	3.438	0.0073	4.963	-0.051
0.105	0.428	0.0094	0.857	-0.0093	1.8	-0.0145	1.462	-0.006	2.523	0.0423	3.241	0.0517	4.405	0.0157	4.8	0.0475	3.822	0.0475	4.635	-0.0507
0.106	0.536	0.0109	0.759	-0.0084	1.63	-0.0151	1.537	0.0136	2.938	0.0354	3.671	0.0333	4.184	-0.0314	4.92	-0.0036	4.51	0.071	4.122	-0.0483
0.107	0.611	0.0052	0.687	-0.0048	1.46	-0.0154	1.809	0.0296	3.073	0.0027	3.704	-0.0093	3.792	-0.0356	4.534	-0.0392	4.963	0.0671	3.788	-0.0217
0.108	0.579	-0.0039	0.701	0.0055	1.299	-0.0148	2.169	0.0354	2.852	-0.0229	3.384	-0.0293	3.407	-0.0365	4.097	-0.0407	4.963	0.0194	3.897	0.0239
